Customer ID,recency,frequency,monetary,R,F,M,RFM Score,Segment
C00692,42,48,391673,4,3,3,433,champions
C00693,92,60,3666039,3,4,5,345,loyal customers
C00694,42,60,381189,4,4,3,443,loyal customers
C00695,175,24,149206,1,1,2,112,at risk
C00696,114,128,1679574,2,5,5,255,can't loose
C00697,43,80,589867,4,5,4,454,loyal customers
C00698,36,60,109872,4,4,1,441,loyal customers
C00699,123,48,447374,2,3,4,234,at risk
C00700,21,36,473482,5,2,4,524,champions
C00701,49,40,274500,4,2,3,423,champions
C00702,175,36,427732,1,2,4,124,at risk
C00703,196,56,185443,1,3,2,132,at risk
C00704,213,84,602290,1,5,4,154,can't loose
C00705,266,28,193065,1,1,2,112,at risk
C00707,138,48,63318,2,3,1,231,at risk
C00708,340,40,191235,1,2,2,122,at risk
C00709,124,60,272487,2,4,3,243,at risk
C00710,105,28,132065,2,1,2,212,at risk
C00712,121,52,457622,2,3,4,234,at risk
C00713,60,96,1058184,3,5,5,355,loyal customers
C00716,33,72,255430,5,4,3,543,champions
C00717,139,32,123533,2,1,1,211,at risk
C00718,102,56,501309,2,3,4,234,at risk
C00719,92,76,608067,3,5,4,354,loyal customers
C00720,200,104,764940,1,5,5,155,can't loose
C00721,209,48,427589,1,3,4,134,at risk
C00723,54,84,873666,4,5,5,455,loyal customers
C00724,333,100,798174,1,5,5,155,can't loose
C00725,43,20,27347,4,1,1,411,new customers
C00726,89,24,125009,3,1,2,312,need attention
C00727,76,84,469081,3,5,4,354,loyal customers
C00728,144,16,27675,2,1,1,211,at risk
C00729,92,96,832599,3,5,5,355,loyal customers
C00730,133,60,95079,2,4,1,241,at risk
C00731,239,20,4838,1,1,1,111,at risk
C00733,83,56,775818,3,3,5,335,need attention
C00734,15,52,187247,5,3,2,532,champions
C00735,38,88,547350,4,5,4,454,loyal customers
C00736,61,68,648972,3,4,4,344,loyal customers
C00738,50,64,278964,4,4,3,443,loyal customers
C00739,116,76,432551,2,5,4,254,can't loose
C00740,77,48,519347,3,3,4,334,need attention
C00741,103,48,608229,2,3,4,234,at risk
C00742,132,72,285930,2,4,3,243,at risk
C00743,44,56,247758,4,3,3,433,champions
C00745,357,28,238415,1,1,2,112,at risk
C00746,71,36,571941,3,2,4,324,need attention
C00747,21,64,866295,5,4,5,545,champions
C00748,119,16,151951,2,1,2,212,at risk
C00750,71,44,353133,3,2,3,323,need attention
C00751,62,16,119438,3,1,1,311,need attention
C00752,211,76,1043766,1,5,5,155,can't loose
C00753,196,60,140630,1,4,2,142,at risk
C00754,130,52,100819,2,3,1,231,at risk
C00755,362,76,234789,1,5,2,152,can't loose
C00758,40,64,624640,4,4,4,444,loyal customers
C00759,350,36,594621,1,2,4,124,at risk
C00760,206,28,66461,1,1,1,111,at risk
C00761,239,48,142557,1,3,2,132,at risk
C00762,159,52,82082,1,3,1,131,at risk
C00763,49,60,1740696,4,4,5,445,loyal customers
C00764,82,40,1436271,3,2,5,325,need attention
C00765,215,68,898720,1,4,5,145,at risk
C00766,117,40,524308,2,2,4,224,at risk
C00767,185,28,202130,1,1,2,112,at risk
C00768,25,56,527916,5,3,4,534,champions
C00769,166,44,122549,1,2,1,121,at risk
C00770,143,16,160308,2,1,2,212,at risk
C00771,24,56,328363,5,3,3,533,champions
C00772,120,80,466129,2,5,4,254,can't loose
C00773,17,40,108580,5,2,1,521,champions
C00774,85,52,619882,3,3,4,334,need attention
C00775,363,40,376569,1,2,3,123,at risk
C00776,48,36,249856,4,2,3,423,champions
C00777,298,28,203008,1,1,2,112,at risk
C00778,68,44,277529,3,2,3,323,need attention
C00779,43,60,275356,4,4,3,443,loyal customers
C00780,127,40,303658,2,2,3,223,at risk
C00781,251,56,493063,1,3,4,134,at risk
C00783,67,48,476928,3,3,4,334,need attention
C00785,26,44,123891,5,2,1,521,champions
C00786,43,20,145546,4,1,2,412,new customers
C00787,67,40,293654,3,2,3,323,need attention
C00788,88,56,330706,3,3,3,333,need attention
C00789,41,72,1192563,4,4,5,445,loyal customers
C00790,167,32,83230,1,1,1,111,at risk
C00791,299,24,42025,1,1,1,111,at risk
C00792,234,32,103976,1,1,1,111,at risk
C00793,130,32,37474,2,1,1,211,at risk
C00794,33,148,1197099,5,5,5,555,champions
C00795,56,112,347761,3,5,3,353,loyal customers
C00796,22,48,984113,5,3,5,535,champions
C00797,17,32,1060452,5,1,5,515,new customers
C00798,67,120,1560627,3,5,5,355,loyal customers
C00799,215,36,290385,1,2,3,123,at risk
